[[[2018-12-05 16:26:00.560 | DESKTOP-DL8V3LQ | bmp-batchapp | NONE | INFO | NONE | top.ywwxhz.job.ErrorJudgeMonitorJob | LOG | errorJudge Begins... ]]]
[[[2018-12-05 16:26:00.560 | DESKTOP-DL8V3LQ | bmp-batchapp | NONE | INFO | NONE | top.ywwxhz.job.ErrorJudgeMonitorJob | LOG | errorJudge Ends... ]]]
[[[2018-12-05 16:27:37.243 | DESKTOP-DL8V3LQ | bmp-batchapp | NONE | INFO | top.ywwxhz.job.ErrorJudgeMonitorJob#execute | top.ywwxhz.job.ErrorJudgeMonitorJob | LOG | errorJudge Begins... ]]]
[[[2018-12-05 16:27:37.243 | DESKTOP-DL8V3LQ | bmp-batchapp | NONE | INFO | top.ywwxhz.job.ErrorJudgeMonitorJob#execute | top.ywwxhz.job.ErrorJudgeMonitorJob | LOG | errorJudge Ends... ]]]
[[[2018-12-05 16:28:00.303 | DESKTOP-DL8V3LQ | bmp-batchapp | NONE | INFO | NONE | top.ywwxhz.job.ErrorJudgeMonitorJob | LOG | errorJudge Begins... ]]]
[[[2018-12-05 16:28:00.304 | DESKTOP-DL8V3LQ | bmp-batchapp | NONE | INFO | top.ywwxhz.job.ErrorJudgeMonitorJob#execute | top.ywwxhz.job.ErrorJudgeMonitorJob | LOG | errorJudge Ends... ]]]
[[[2018-12-05 16:29:00.291 | DESKTOP-DL8V3LQ | bmp-batchapp | NONE | INFO | NONE | top.ywwxhz.job.ErrorJudgeMonitorJob | LOG | errorJudge Begins... ]]]
[[[2018-12-05 16:29:00.291 | DESKTOP-DL8V3LQ | bmp-batchapp | NONE | INFO | NONE | top.ywwxhz.job.ErrorJudgeMonitorJob | LOG | errorJudge Ends... ]]]
[[[2018-12-05 16:30:00.295 | DESKTOP-DL8V3LQ | bmp-batchapp | NONE | INFO | NONE | top.ywwxhz.job.ErrorJudgeMonitorJob | LOG | errorJudge Begins... ]]]
[[[2018-12-05 16:30:00.295 | DESKTOP-DL8V3LQ | bmp-batchapp | NONE | INFO | top.ywwxhz.job.ErrorJudgeMonitorJob#execute | top.ywwxhz.job.ErrorJudgeMonitorJob | LOG | errorJudge Ends... ]]]
[[[2018-12-05 16:31:00.521 | DESKTOP-DL8V3LQ | bmp-batchapp | NONE | INFO | top.ywwxhz.job.ErrorJudgeMonitorJob#execute | top.ywwxhz.job.ErrorJudgeMonitorJob | LOG | errorJudge Begins... ]]]
[[[2018-12-05 16:31:00.521 | DESKTOP-DL8V3LQ | bmp-batchapp | NONE | INFO | NONE | top.ywwxhz.job.ErrorJudgeMonitorJob | LOG | errorJudge Ends... ]]]
[[[2018-12-05 16:32:00.301 | DESKTOP-DL8V3LQ | bmp-batchapp | NONE | INFO | NONE | top.ywwxhz.job.ErrorJudgeMonitorJob | LOG | errorJudge Begins... ]]]
[[[2018-12-05 16:32:00.302 | DESKTOP-DL8V3LQ | bmp-batchapp | NONE | INFO | top.ywwxhz.job.ErrorJudgeMonitorJob#execute | top.ywwxhz.job.ErrorJudgeMonitorJob | LOG | errorJudge Ends... ]]]
[[[2018-12-05 16:33:00.292 | DESKTOP-DL8V3LQ | bmp-batchapp | NONE | INFO | NONE | top.ywwxhz.job.ErrorJudgeMonitorJob | LOG | errorJudge Begins... ]]]
[[[2018-12-05 16:33:00.292 | DESKTOP-DL8V3LQ | bmp-batchapp | NONE | INFO | NONE | top.ywwxhz.job.ErrorJudgeMonitorJob | LOG | errorJudge Ends... ]]]
[[[2018-12-05 16:34:21.580 | DESKTOP-DL8V3LQ | bmp-batchapp | NONE | INFO | top.ywwxhz.job.ErrorJudgeMonitorJob#execute | top.ywwxhz.job.ErrorJudgeMonitorJob | LOG | errorJudge Begins... ]]]
[[[2018-12-05 16:34:21.581 | DESKTOP-DL8V3LQ | bmp-batchapp | NONE | INFO | top.ywwxhz.job.ErrorJudgeMonitorJob#execute | top.ywwxhz.job.ErrorJudgeMonitorJob | LOG | errorJudge Ends... ]]]
[[[2018-12-05 16:35:00.300 | DESKTOP-DL8V3LQ | bmp-batchapp | NONE | INFO | NONE | top.ywwxhz.job.ErrorJudgeMonitorJob | LOG | errorJudge Begins... ]]]
[[[2018-12-05 16:35:00.300 | DESKTOP-DL8V3LQ | bmp-batchapp | NONE | INFO | top.ywwxhz.job.ErrorJudgeMonitorJob#execute | top.ywwxhz.job.ErrorJudgeMonitorJob | LOG | errorJudge Ends... ]]]
